County #,County,City Code,City,year,total_taxes,residential_taxes,total_taxes_per_capita,residential_taxes_per_capita,res_percent,non_res_taxes,non_res_taxes_per_capita
18,Beaverhead,DIL-18,Dillon,2003,2353304.0144599997,1103113.06854,576.9316044275557,270.4371337435646,0.46875076988007663,1250190.9459199999,306.49447068399115
11,Phillips,DOD-11,Dodson,2003,27590.52328,9769.70412,229.92102733333334,81.414201,0.3540963692806047,17820.81916,148.50682633333332
46,Granite,DRM-46,Drummond,2003,183099.44115,66336.53715,568.6318048136646,206.01409052795032,0.3622978679419088,116762.904,362.6177142857143
31,Teton,DTT-31,Dutton,2003,157025.44887999998,91522.76736,430.2067092602739,250.74730783561643,0.5828530853616115,65502.681519999984,179.45940142465747
5,Lewis & Clark,EHN-05,East Helena,2003,1462665.82496,703575.01448,846.4501301851852,407.161466712963,0.48102239245197437,759090.8104800001,439.28866347222225
42,Carter,EKA-42,Ekalaka,2003,124410.8259,72496.26482,329.12916904761903,191.78906037037035,0.5827166912168211,51914.56108,137.34010867724868
25,Madison,ENN-25,Ennis,2003,585318.294,291470.982,704.3541444043321,350.74727075812274,0.49797005319638965,293847.312,353.6068736462094
56,Lincoln,EUR-56,Eureka,2003,470451.7231320001,274765.69996600004,466.71797929761914,272.5850198075397,0.5840465375209304,195686.02316600003,194.13295949007943
31,Teton,FRF-31,Fairfield,2003,606233.92368,242598.04799999998,850.2579574754558,340.249716690042,0.4001723402863465,363635.87568000006,510.00824078541376
27,Richland,FAR-27,Fairview ,2003,203047.8618,112676.72297999999,285.1795811797753,158.25382441011234,0.5549269122123796,90371.13882000002,126.92575676966297
37,Daniels,FLX-37,Flaxville,2003,20092.965600000003,10997.97762,251.16207000000003,137.47472025,0.5473546234509056,9094.987980000004,113.68734975000004
29,Rosebud,FOR-29,Forsyth,2003,761442.92275,384022.99374999997,411.14628658207346,207.35582815874727,0.5043358895018372,377419.92900000006,203.79045842332619
19,Chouteau,FOR-19,Fort Benton,2003,911852.6476799999,568752.66912,597.9361624131147,372.95256991475406,0.6237330895151325,343099.97855999996,224.98359249836068
20,Valley,FOR-20,Fort Peck,2003,97675.39235999998,80203.66662,419.2076925321888,344.2217451502146,0.8211245911805009,17471.72573999998,74.9859473819742
17,Roosevelt,FRO-17,Froid,2003,63550.642120000004,33573.86557,338.0353304255319,178.58439132978725,0.5283009651830721,29976.776550000002,159.45093909574467
10,Carbon,FRM-10,Fromberg,2003,156829.74286000003,114642.44782,333.6803039574469,243.92010174468086,0.7309993992806575,42187.295040000026,89.76020221276602
19,Chouteau,GER-19,Geraldine,2003,93955.63247000001,46550.13151,351.89375456928843,174.345061835206,0.495448013985361,47405.50096000001,177.54869273408244
20,Valley,GLA-20,Glasgow,2003,1624621.3650199997,798589.1344399999,508.64789136505937,250.0279068378209,0.4915540024491608,826032.2305799997,258.61998452723844
16,Dawson,GLD-16,Glendive,2003,3334723.27692,1412201.21847,696.4752040350877,294.9459520614035,0.4234837799717912,1922522.0584500001,401.5292519736842
