County #,County,year,total_taxes,residential_taxes,total_taxes_per_capita,residential_taxes_per_capita,res_per_income,fips,region,res_percent,non_res_taxes,non_res_taxes_per_capita
32,Stillwater,2012,17417674.295155156,4645814.778259999,1898.3841193629598,506.3558341427792,0.011984251091833048,30095,Plains,0.26672991465641677,12771859.516895156,1392.0282852201806
32,Stillwater,2013,17991621.35731557,4941572.241129999,1942.1007510055667,533.4166926953799,0.012545372994724493,30095,Plains,0.27465963978397684,13050049.116185572,1408.6840583101869
32,Stillwater,2014,17049337.832617894,4870425.843589998,1844.3680043939737,526.8742799210296,0.011788374444433682,30095,Plains,0.2856665690718003,12178911.989027895,1317.493724472944
32,Stillwater,2015,18802661.332864195,5548355.857170005,1992.6516885188846,587.9987131379828,0.012683782709670204,30095,Plains,0.29508353944940346,13254305.47569419,1404.6529753809018
32,Stillwater,2016,15872044.172379853,5634183.859919996,1691.7548680856803,600.5312150842034,0.012751580564817278,30095,Plains,0.35497531374846264,10237860.312459856,1091.223653001477
32,Stillwater,2017,21078115.834790014,6404152.277209999,2230.016486964665,677.5446759638171,0.013809165232113091,30095,Plains,0.30382944696791964,14673963.557580015,1552.471811000848
32,Stillwater,2018,21586737.33567839,6317469.009209997,2264.184742571679,662.6252369634988,0.012798554742244853,30095,Plains,0.29265511091240887,15269268.326468393,1601.5595056081804
40,Sweet Grass,2002,4677106.692039485,1499093.2538960006,1293.0900447994152,414.45763171025726,0.01576267300950539,30097,Plains,0.3205172241307821,3178013.4381434843,878.6324130891579
40,Sweet Grass,2003,5294416.020335001,1654745.328571,1474.3570092829298,460.8034888808131,0.016771860782986356,30097,Plains,0.3125453916381692,3639670.691764001,1013.5535204021166
40,Sweet Grass,2004,5763817.449832,1706184.8684850002,1567.9590451120782,464.14169436479875,0.01577463820714682,30097,Plains,0.2960164653609442,4057632.581347,1103.8173507472795
40,Sweet Grass,2005,6444526.725709001,1982397.5572510003,1753.6127144786396,539.4279067349661,0.017465750006616626,30097,Plains,0.3076094865651915,4462129.168458,1214.1848077436734
40,Sweet Grass,2006,6633190.2638799995,2006068.0255900004,1794.2088893373004,542.6205100324589,0.016564153164422137,30097,Plains,0.3024288382791807,4627122.238289999,1251.5883793048415
40,Sweet Grass,2007,6891437.041900001,2030745.9402700001,1824.0966230545264,537.5187772022234,0.014943602662884308,30097,Plains,0.2946767021048072,4860691.10163,1286.577845852303
40,Sweet Grass,2008,9905142.084159996,2234613.09439,2637.8540836644465,595.1033540319575,0.016503058168692675,30097,Plains,0.2256013165084755,7670528.989769996,2042.750729632489
40,Sweet Grass,2009,8192601.507914304,2362433.32655,2195.8192194892263,633.1903850308228,0.020487493184084778,30097,Plains,0.2883618011040592,5830168.181364303,1562.6288344584036
40,Sweet Grass,2010,7132537.52871,2240070.19992,1970.3142344502762,618.8039226298342,0.01891408041542125,30097,Plains,0.3140635700693105,4892467.32879,1351.510311820442
40,Sweet Grass,2011,7478259.280360004,2140214.9093400002,2085.4041495705533,596.8251280925823,0.01674423719147538,30097,Plains,0.2861915893931094,5338044.371020004,1488.5790214779709
40,Sweet Grass,2012,8093787.317922998,2134621.302700001,2259.5721155563924,595.930011920715,0.01582478669963156,30097,Plains,0.26373577891935274,5959166.015222997,1663.6421036356774
40,Sweet Grass,2013,8143181.434613401,2240646.63872,2226.129424443248,612.5332527938765,0.016256124314175023,30097,Plains,0.27515617289280936,5902534.795893401,1613.5961716493714
40,Sweet Grass,2014,8168052.191394402,2219532.540120001,2243.9703822512092,609.7616868461541,0.015028319724558203,30097,Plains,0.2717333934837524,5948519.651274401,1634.208695405055
40,Sweet Grass,2015,8416646.9855952,2350962.3358199988,2325.0406037555804,649.4371093425411,0.015547047507009831,30097,Plains,0.27932291087455485,6065684.649775201,1675.6034944130392
40,Sweet Grass,2016,5918217.447868552,2361602.1811499987,1637.5809208269375,653.4593749723294,0.015703812780282468,30097,Plains,0.3990394408371275,3556615.2667185534,984.121545854608
40,Sweet Grass,2017,9604081.9441442,2888917.3885300015,2607.679050812979,784.3924486912847,0.01860205271395549,30097,Plains,0.30080099329967,6715164.5556141995,1823.2866021216942
40,Sweet Grass,2018,10251646.55045519,2832368.49625,2763.247048640213,763.44164319407,0.017173259379793727,30097,Plains,0.27628425173556515,7419278.05420519,1999.8054054461431
31,Teton,2002,6541606.0720519945,2094201.5654900002,1040.6627540649054,333.1532875421572,0.01466137558275809,30099,Plains,0.32013568876260434,4447404.506561995,707.5094665227482
31,Teton,2003,7203742.829360002,2149735.3412300004,1140.9158741463418,340.4712292096928,0.014019494983207145,30099,Plains,0.2984192234720556,5054007.488130001,800.444644936649
31,Teton,2004,7299631.648329997,2211571.18581,1175.6533497068767,356.18798289740704,0.012825758477602766,30099,Plains,0.30297024457610283,5088060.462519998,819.4653668094697
31,Teton,2005,7637701.999370003,2291620.32854,1251.056838553645,375.3677851826372,0.01251964209602168,30099,Plains,0.300040552607188,5346081.670830003,875.689053371008
31,Teton,2006,8120344.583650002,2464308.48087,1329.0253001063834,403.32381028968905,0.013060644263204758,30099,Plains,0.30347338779585653,5656036.102780002,925.7014898166943
31,Teton,2007,8327908.968320005,2499056.43921,1355.6745838059587,406.8136804834771,0.0120868669614235,30099,Plains,0.30008210328866464,5828852.529110005,948.8609033224816
31,Teton,2008,8682217.37464001,2702758.11888,1413.3513551424403,439.97364787237507,0.011968639265255513,30099,Plains,0.3112981398939075,5979459.25576001,973.3777072700652
31,Teton,2009,8595329.631059999,2469454.6557600005,1420.7156414975204,408.1743232661158,0.011281663731080768,30099,Plains,0.2873019141507271,6125874.975299998,1012.5413182314046
31,Teton,2010,8820397.944920005,2553126.5728200004,1452.156395278236,420.3369398781693,0.0113608116940698,30099,Plains,0.28945707311204033,6267271.372100005,1031.8194554000668
31,Teton,2011,9340955.786279993,2567871.8961099996,1541.411845920791,423.74123698184815,0.009566333974510854,30099,Plains,0.27490461949104744,6773083.890169993,1117.6706089389427
31,Teton,2012,9268694.512330009,2611667.4972399995,1530.2450903632175,431.1816901502393,0.009546370847110684,30099,Plains,0.28177296098881416,6657027.015090009,1099.0634002129782
31,Teton,2013,9644164.438440008,2674814.48486,1594.076766684299,442.1180966710744,0.010271511129944589,30099,Plains,0.2773505679972276,6969349.953580008,1151.9586700132245
31,Teton,2014,9733378.490690002,2769947.4448100007,1613.8913100132652,459.28493530260334,0.010574013562517658,30099,Plains,0.28458232128335104,6963431.045880001,1154.6063747106618
31,Teton,2015,10095284.108900001,3048025.01108,1663.6921735168096,502.311307033619,0.010970590604097382,30099,Plains,0.3019256296504683,7047259.097820001,1161.3808664831906
31,Teton,2016,10305335.242818473,3039246.1840599994,1710.9970517712889,504.6067049742652,0.011421701293753334,30099,Plains,0.29491968116010325,7266089.058758473,1206.3903467970235
31,Teton,2017,11013764.564520003,3295307.2566899983,1801.4008119921498,538.9773072767416,0.012957173581193988,30099,Plains,0.29919899207811085,7718457.307830005,1262.4235047154082
31,Teton,2018,11353355.876720002,3430607.202210001,1842.4790452320678,556.7359951655309,0.012547895590030765,30099,Plains,0.3021667989148868,7922748.67451,1285.7430500665369
21,Toole,2002,6471766.108272998,1470128.9210360001,1248.4116721205628,283.589683841821,0.012228248278513442,30101,Plains,0.22716039121943896,5001637.187236997,964.8219882787419
21,Toole,2003,6506866.419481,1495282.122334,1299.8135076869755,298.69798688254093,0.011368718902224654,30101,Plains,0.22980064841307538,5011584.297147,1001.1155208044346
21,Toole,2004,6202373.2824099995,1438433.86459,1223.5891265358057,283.7707367508384,0.010470475066166836,30101,Plains,0.2319166872251005,4763939.417819999,939.8183897849673
21,Toole,2005,6202558.196060001,1452203.2011,1209.0756717465888,283.0805460233918,0.00963811167959754,30101,Plains,0.2341297179641895,4750354.994960001,925.995125723197
21,Toole,2006,6465161.850729999,1476647.47747,1271.41825973058,290.39281759488694,0.009555609695532317,30101,Plains,0.22840069770306953,4988514.373259999,981.0254421356931
21,Toole,2007,6693881.692330001,1495977.4007899999,1347.1285353853896,301.0620649607567,0.009488750338010122,30101,Plains,0.22348429051324947,5197904.291540001,1046.0664704246328
21,Toole,2008,6529886.215390003,1355418.6244400002,1285.6637557373506,266.8672227682615,0.007232216506984537,30101,Plains,0.2075715532753807,5174467.590950003,1018.7965329690891
21,Toole,2009,8040516.981190002,1371525.377,1532.9870316854149,261.4919689227836,0.0076957735862819695,30101,Plains,0.17057676517673537,6668991.604190001,1271.4950627626313
21,Toole,2010,8645159.196790002,1444944.9186200001,1618.0346615740225,270.43700516938054,0.00756979363599692,30101,Plains,0.16713919150922246,7200214.278170003,1347.5976564046418
21,Toole,2011,9290091.854845002,1463446.02852,1803.551126935547,284.1091105649388,0.00650923838221558,30101,Plains,0.15752761666794265,7826645.826325002,1519.4420163706081
21,Toole,2012,9376515.689429998,1561736.0178800002,1797.644879108512,299.4125801150307,0.0066071668057706145,30101,Plains,0.16655824717922896,7814779.671549998,1498.2322989934812
21,Toole,2013,11406299.07895,1557647.0577000005,2226.922897100742,304.1091483209685,0.006474091770470956,30101,Plains,0.1365602503422511,9848652.02125,1922.8137487797735
21,Toole,2014,11729300.56318,1653565.6786800001,2292.2221151416843,323.15139313660353,0.0073325603240654525,30101,Plains,0.14097734726576844,10075734.884499999,1969.0707220050808
